,species,block,street,trap,nummosquitos,wnvpresent,year,month,day,latitude,longitude
55,CULEX RESTUANS,58, N WESTERN AVE,T028,2,0,2007,06,05,41,-87
56,CULEX PIPIENS/RESTUANS,50, S CENTRAL AVE,T031,1,0,2007,06,05,41,-87
57,CULEX RESTUANS,14, N HUMBOLDT DR,T033,3,0,2007,06,05,41,-87
58,CULEX RESTUANS,10, S VINCENNES,T089,1,0,2007,06,05,41,-87
59,CULEX PIPIENS/RESTUANS,11, S ASHLAND AVE,T090,1,0,2007,06,05,41,-87
60,CULEX RESTUANS,11, S ASHLAND AVE,T090,7,0,2007,06,05,41,-87
61,CULEX PIPIENS/RESTUANS,11, S STATE ST,T092,1,0,2007,06,05,41,-87
62,CULEX PIPIENS/RESTUANS,42, W 127TH PL,T135,2,0,2007,06,05,41,-87
63,CULEX RESTUANS,42, W 127TH PL,T135,4,0,2007,06,05,41,-87
64,CULEX PIPIENS,42, W 127TH PL,T135,1,0,2007,06,05,41,-87
65,CULEX PIPIENS/RESTUANS,53, W AGATITE AVE,T141,1,0,2007,06,05,41,-87
66,CULEX RESTUANS,53, W AGATITE AVE,T141,2,0,2007,06,05,41,-87
67,CULEX PIPIENS/RESTUANS,40, N AUSTIN AVE,T142,1,0,2007,06,05,41,-87
68,CULEX RESTUANS,40, N AUSTIN AVE,T142,3,0,2007,06,05,41,-87
69,CULEX RESTUANS,43, N ASHLAND AVE OVERPASS,T145,3,0,2007,06,05,41,-87
70,CULEX PIPIENS/RESTUANS,42, N RICHMOND ST,T146,1,0,2007,06,05,41,-87
71,CULEX RESTUANS,42, N RICHMOND ST,T146,2,0,2007,06,05,41,-87
72,CULEX RESTUANS,28, N FRANCISCO AVE,T147,1,0,2007,06,05,41,-87
73,CULEX PIPIENS/RESTUANS,15, W GRANVILLE AVE,T149,1,0,2007,06,05,41,-87
74,CULEX RESTUANS,18, W FARWELL AVE,T150,2,0,2007,06,05,42,-87
75,CULEX PIPIENS/RESTUANS,70,  W ARMITAGE AVENUE,T151,1,0,2007,06,05,41,-87
76,CULEX RESTUANS,70,  W ARMITAGE AVENUE,T151,10,0,2007,06,05,41,-87
77,CULEX RESTUANS,25, S MILLARD AVE,T152,1,0,2007,06,05,41,-87
78,CULEX RESTUANS,21, N LAWLER AVE,T154,1,0,2007,06,05,41,-87
79,CULEX PIPIENS/RESTUANS,35, W 116TH ST,T158,3,0,2007,06,05,41,-87
80,CULEX RESTUANS,35, W 116TH ST,T158,8,0,2007,06,05,41,-87
81,CULEX PIPIENS/RESTUANS,93, S DR MARTIN LUTHER KING JR DR,T162,1,0,2007,06,05,41,-87
82,CULEX PIPIENS/RESTUANS,37, N KEDVALE AVE,T218,2,0,2007,06,05,41,-87
83,CULEX RESTUANS,37, N KEDVALE AVE,T218,1,0,2007,06,05,41,-87
84,CULEX RESTUANS,45, N CAMPBELL AVE,T220,1,0,2007,06,05,41,-87
85,CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,1,0,2007,06,26,41,-87
86,CULEX RESTUANS,41, N OAK PARK AVE,T002,4,0,2007,06,26,41,-87
87,CULEX SALINARIUS,41, N OAK PARK AVE,T002,1,0,2007,06,26,41,-87
88,CULEX PIPIENS/RESTUANS,62, N MANDELL AVE,T007,1,0,2007,06,26,41,-87
89,CULEX RESTUANS,62, N MANDELL AVE,T007,4,0,2007,06,26,41,-87
90,CULEX RESTUANS,79, W FOSTER AVE,T015,1,0,2007,06,26,41,-87
91,CULEX PIPIENS/RESTUANS,15, W WEBSTER AVE,T045,1,0,2007,06,26,41,-87
92,CULEX RESTUANS,15, W WEBSTER AVE,T045,1,0,2007,06,26,41,-87
93,CULEX PIPIENS/RESTUANS,25, W GRAND AVE,T046,1,0,2007,06,26,41,-87
94,CULEX RESTUANS,25, W GRAND AVE,T046,6,0,2007,06,26,41,-87
95,CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,2,0,2007,06,26,41,-87
96,CULEX RESTUANS,11, W CHICAGO,T049,1,0,2007,06,26,41,-87
97,CULEX RESTUANS,21, N STAVE ST,T050,1,0,2007,06,26,41,-87
98,CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,1,0,2007,06,26,41,-87
99,CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,1,0,2007,06,26,41,-87
100,CULEX RESTUANS,22, W 113TH ST,T086,2,0,2007,06,26,41,-87
101,CULEX RESTUANS,22, W 89TH ST,T096,5,0,2007,06,26,41,-87
102,CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,1,0,2007,06,26,41,-87
103,CULEX RESTUANS,53, N STREETER DR,T129,1,0,2007,06,26,41,-87
104,CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,1,0,2007,06,26,41,-87
105,CULEX RESTUANS,65, N OAK PARK AVE,T143,1,0,2007,06,26,41,-87
106,CULEX PIPIENS/RESTUANS,75, N OAKLEY AVE,T148,2,0,2007,06,26,42,-87
107,CULEX RESTUANS,75, N OAKLEY AVE,T148,2,0,2007,06,26,42,-87
108,CULEX PIPIENS/RESTUANS,36, N PITTSBURGH AVE,T011,2,0,2007,06,26,41,-87
109,CULEX RESTUANS,36, N PITTSBURGH AVE,T011,4,0,2007,06,26,41,-87
110,CULEX PIPIENS/RESTUANS,72, N OKETO AVE,T016,2,0,2007,06,26,42,-87
111,CULEX RESTUANS,72, N OKETO AVE,T016,2,0,2007,06,26,42,-87
112,CULEX RESTUANS,38, N CALIFORNIA AVE,T019,1,0,2007,06,26,41,-87
113,CULEX PIPIENS/RESTUANS,49, W BALMORAL AVE,T025,1,0,2007,06,26,41,-87
114,CULEX PIPIENS/RESTUANS,58, N WESTERN AVE,T028,1,0,2007,06,26,41,-87
115,CULEX RESTUANS,58, N WESTERN AVE,T028,9,0,2007,06,26,41,-87
116,CULEX PIPIENS/RESTUANS,14, N HUMBOLDT DR,T033,2,0,2007,06,26,41,-87
117,CULEX RESTUANS,14, N HUMBOLDT DR,T033,3,0,2007,06,26,41,-87
118,CULEX PIPIENS/RESTUANS,11, S ASHLAND AVE,T090,10,0,2007,06,26,41,-87
119,CULEX RESTUANS,11, S ASHLAND AVE,T090,19,0,2007,06,26,41,-87
120,CULEX PIPIENS,11, S ASHLAND AVE,T090,1,0,2007,06,26,41,-87
121,CULEX PIPIENS/RESTUANS,42, W 127TH PL,T135,20,0,2007,06,26,41,-87
122,CULEX RESTUANS,42, W 127TH PL,T135,25,0,2007,06,26,41,-87
123,CULEX PIPIENS,42, W 127TH PL,T135,6,0,2007,06,26,41,-87
124,CULEX PIPIENS/RESTUANS,53, W AGATITE AVE,T141,1,0,2007,06,26,41,-87
125,CULEX RESTUANS,53, W AGATITE AVE,T141,3,0,2007,06,26,41,-87
126,CULEX RESTUANS,40, N AUSTIN AVE,T142,4,0,2007,06,26,41,-87
127,CULEX RESTUANS,43, N ASHLAND AVE OVERPASS,T145,1,0,2007,06,26,41,-87
128,CULEX RESTUANS,42, N RICHMOND ST,T146,6,0,2007,06,26,41,-87
129,CULEX RESTUANS,28, N FRANCISCO AVE,T147,1,0,2007,06,26,41,-87
130,CULEX RESTUANS,18, W FARWELL AVE,T150,2,0,2007,06,26,42,-87
131,CULEX PIPIENS/RESTUANS,70,  W ARMITAGE AVENUE,T151,3,0,2007,06,26,41,-87
132,CULEX RESTUANS,70,  W ARMITAGE AVENUE,T151,6,0,2007,06,26,41,-87
133,CULEX PIPIENS/RESTUANS,35, W 116TH ST,T158,1,0,2007,06,26,41,-87
134,CULEX RESTUANS,35, W 116TH ST,T158,4,0,2007,06,26,41,-87
135,CULEX RESTUANS,45, N CAMPBELL AVE,T220,1,0,2007,06,26,41,-87
136,CULEX PIPIENS/RESTUANS,40, N TRIPP AVE,T001,1,0,2007,06,26,41,-87
137,CULEX RESTUANS,46, N MILWAUKEE AVE,T003,2,0,2007,06,26,41,-87
138,CULEX PIPIENS/RESTUANS,60, N AVONDALE AVE,T006,1,0,2007,06,26,41,-87
139,CULEX RESTUANS,60, N AVONDALE AVE,T006,1,0,2007,06,26,41,-87
140,CULEX RESTUANS,70, N MOSELL AVE,T008,2,0,2007,06,26,42,-87
141,CULEX PIPIENS/RESTUANS,61, N LEMONT AVE,T012,2,0,2007,06,26,41,-87
142,CULEX RESTUANS,27, S WESTERN AVE,T034,1,0,2007,06,26,41,-87
143,CULEX RESTUANS,68, W BELDEN AVE,T037,1,0,2007,06,26,41,-87
144,CULEX PIPIENS/RESTUANS,21, S HAMLIN AVE,T040,5,0,2007,06,26,41,-87
145,CULEX RESTUANS,21, S HAMLIN AVE,T040,1,0,2007,06,26,41,-87
146,CULEX RESTUANS,30, W 18TH ST,T043,1,0,2007,06,26,41,-87
147,CULEX PIPIENS/RESTUANS,11, S CALIFORNIA,T047,1,0,2007,06,26,41,-87
148,CULEX RESTUANS,11, S CALIFORNIA,T047,1,0,2007,06,26,41,-87
149,CULEX PIPIENS/RESTUANS,25, S THROOP,T051,1,0,2007,06,26,41,-87
150,CULEX RESTUANS,10, W 95TH ST,T085,2,0,2007,06,26,41,-87
151,CULEX PIPIENS,10, S CALIFORNIA AVE,T088,1,0,2007,06,26,41,-87
152,CULEX PIPIENS/RESTUANS,96, S HOYNE AVE,T161,3,0,2007,06,26,41,-87
153,CULEX RESTUANS,96, S HOYNE AVE,T161,5,0,2007,06,26,41,-87
154,CULEX RESTUANS,18, W LELAND AVE,T219,1,0,2007,06,26,41,-87
155,CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,2,0,2007,06,29,41,-87
156,CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,1,0,2007,06,29,41,-87
157,CULEX RESTUANS,79, W FOSTER AVE,T015,2,0,2007,06,29,41,-87
158,CULEX RESTUANS,25, W GRAND AVE,T046,2,0,2007,06,29,41,-87
159,CULEX PIPIENS/RESTUANS,22, N CANNON DR,T054,3,0,2007,06,29,41,-87
160,CULEX RESTUANS,22, W 113TH ST,T086,2,0,2007,06,29,41,-87
161,CULEX PIPIENS,22, W 113TH ST,T086,1,0,2007,06,29,41,-87
162,CULEX PIPIENS/RESTUANS,11, S PEORIA ST,T091,1,0,2007,06,29,41,-87
163,CULEX RESTUANS,22, W 89TH ST,T096,1,0,2007,06,29,41,-87
164,CULEX RESTUANS,65, N OAK PARK AVE,T143,3,0,2007,06,29,41,-87
165,CULEX PIPIENS/RESTUANS,75, N OAKLEY AVE,T148,2,0,2007,06,29,42,-87
166,CULEX RESTUANS,75, N OAKLEY AVE,T148,2,0,2007,06,29,42,-87
167,CULEX RESTUANS,15, N LONG AVE,T153,1,0,2007,06,29,41,-87
168,CULEX PIPIENS/RESTUANS,72, N OKETO AVE,T016,2,0,2007,06,29,42,-87
169,CULEX PIPIENS/RESTUANS,58, N WESTERN AVE,T028,2,0,2007,06,29,41,-87
170,CULEX RESTUANS,58, N WESTERN AVE,T028,1,0,2007,06,29,41,-87
171,CULEX PIPIENS,50, S CENTRAL AVE,T031,1,0,2007,06,29,41,-87
172,CULEX RESTUANS,10, S VINCENNES,T089,2,0,2007,06,29,41,-87
173,CULEX PIPIENS/RESTUANS,11, S ASHLAND AVE,T090,1,0,2007,06,29,41,-87
174,CULEX RESTUANS,11, S ASHLAND AVE,T090,6,0,2007,06,29,41,-87
175,CULEX PIPIENS,11, S ASHLAND AVE,T090,3,0,2007,06,29,41,-87
176,CULEX RESTUANS,42, W 127TH PL,T135,3,0,2007,06,29,41,-87
177,CULEX RESTUANS,53, W AGATITE AVE,T141,1,0,2007,06,29,41,-87
178,CULEX RESTUANS,40, N AUSTIN AVE,T142,1,0,2007,06,29,41,-87
179,CULEX RESTUANS,43, N ASHLAND AVE OVERPASS,T145,1,0,2007,06,29,41,-87
180,CULEX RESTUANS,42, N RICHMOND ST,T146,2,0,2007,06,29,41,-87
181,CULEX RESTUANS,18, W FARWELL AVE,T150,1,0,2007,06,29,42,-87
182,CULEX PIPIENS/RESTUANS,70,  W ARMITAGE AVENUE,T151,1,0,2007,06,29,41,-87
183,CULEX RESTUANS,70,  W ARMITAGE AVENUE,T151,5,0,2007,06,29,41,-87
184,CULEX RESTUANS,35, W 116TH ST,T158,6,0,2007,06,29,41,-87
185,CULEX RESTUANS,37, N KEDVALE AVE,T218,5,0,2007,06,29,41,-87
186,CULEX RESTUANS,60, N AVONDALE AVE,T006,1,0,2007,06,29,41,-87
187,CULEX PIPIENS/RESTUANS,61, N LEMONT AVE,T012,1,0,2007,06,29,41,-87
188,CULEX PIPIENS/RESTUANS,30, W 18TH ST,T043,2,0,2007,06,29,41,-87
189,CULEX RESTUANS,30, W 18TH ST,T043,3,0,2007,06,29,41,-87
190,CULEX PIPIENS/RESTUANS,10, W 95TH ST,T085,1,0,2007,06,29,41,-87
191,CULEX PIPIENS,10, W 95TH ST,T085,1,0,2007,06,29,41,-87
192,CULEX PIPIENS/RESTUANS,61, W FULLERTON AVE,T013,1,0,2007,06,29,41,-87
193,CULEX RESTUANS,64, W STRONG ST,T014,1,0,2007,06,29,41,-87
194,CULEX RESTUANS,12, W GREENLEAF AVE,T018,1,0,2007,06,29,42,-87
195,CULEX PIPIENS/RESTUANS,10, N CENTRAL PARK DR,T030,1,0,2007,06,29,41,-87
196,CULEX RESTUANS,10, N CENTRAL PARK DR,T030,1,0,2007,06,29,41,-87
197,CULEX PIPIENS/RESTUANS,20, E 111TH ST,T084,1,0,2007,06,29,41,-87
198,CULEX RESTUANS,20, E 111TH ST,T084,1,0,2007,06,29,41,-87
199,CULEX PIPIENS/RESTUANS,33, N RUTHERFORD AVE,T144,1,0,2007,06,29,41,-87
200,CULEX PIPIENS/RESTUANS,11, S ARTESIAN AVE,T160,1,0,2007,06,29,41,-87
201,CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,3,0,2007,07,02,41,-87
202,CULEX RESTUANS,41, N OAK PARK AVE,T002,2,0,2007,07,02,41,-87
203,CULEX PIPIENS/RESTUANS,62, N MANDELL AVE,T007,4,0,2007,07,02,41,-87
204,CULEX RESTUANS,62, N MANDELL AVE,T007,4,0,2007,07,02,41,-87
205,CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,3,0,2007,07,02,41,-87
206,CULEX PIPIENS/RESTUANS,15, W WEBSTER AVE,T045,2,0,2007,07,02,41,-87
207,CULEX RESTUANS,15, W WEBSTER AVE,T045,2,0,2007,07,02,41,-87
208,CULEX PIPIENS/RESTUANS,25, W GRAND AVE,T046,3,0,2007,07,02,41,-87
209,CULEX RESTUANS,25, W GRAND AVE,T046,16,0,2007,07,02,41,-87
210,CULEX RESTUANS,11, W ROOSEVELT,T048,1,0,2007,07,02,41,-87
211,CULEX PIPIENS/RESTUANS,22, N CANNON DR,T054,2,0,2007,07,02,41,-87
212,CULEX RESTUANS,22, N CANNON DR,T054,1,0,2007,07,02,41,-87
213,CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,2,0,2007,07,02,41,-87
214,CULEX RESTUANS,22, W 113TH ST,T086,3,0,2007,07,02,41,-87
215,CULEX PIPIENS/RESTUANS,22, W 89TH ST,T096,3,0,2007,07,02,41,-87
216,CULEX RESTUANS,22, W 89TH ST,T096,4,0,2007,07,02,41,-87
217,CULEX PIPIENS,22, W 89TH ST,T096,3,0,2007,07,02,41,-87
218,CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,2,0,2007,07,02,41,-87
219,CULEX RESTUANS,53, N STREETER DR,T129,1,0,2007,07,02,41,-87
220,CULEX RESTUANS,75, N OAKLEY AVE,T148,1,0,2007,07,02,42,-87
221,CULEX RESTUANS,91, W HIGGINS AVE,T009,2,0,2007,07,02,41,-87
222,CULEX PIPIENS/RESTUANS,36, N PITTSBURGH AVE,T011,6,0,2007,07,02,41,-87
223,CULEX RESTUANS,72, N OKETO AVE,T016,1,0,2007,07,02,42,-87
224,CULEX RESTUANS,38, N CALIFORNIA AVE,T019,1,0,2007,07,02,41,-87
225,CULEX PIPIENS/RESTUANS,58, N WESTERN AVE,T028,1,0,2007,07,02,41,-87
226,CULEX RESTUANS,58, N WESTERN AVE,T028,5,0,2007,07,02,41,-87
227,CULEX PIPIENS,58, N WESTERN AVE,T028,1,0,2007,07,02,41,-87
228,CULEX PIPIENS/RESTUANS,10, S VINCENNES,T089,1,0,2007,07,02,41,-87
229,CULEX PIPIENS/RESTUANS,11, S ASHLAND AVE,T090,2,0,2007,07,02,41,-87
230,CULEX RESTUANS,11, S ASHLAND AVE,T090,11,0,2007,07,02,41,-87
231,CULEX RESTUANS,11, S STATE ST,T092,2,0,2007,07,02,41,-87
232,CULEX PIPIENS/RESTUANS,42, W 127TH PL,T135,16,0,2007,07,02,41,-87
233,CULEX RESTUANS,42, W 127TH PL,T135,12,0,2007,07,02,41,-87
234,CULEX SALINARIUS,42, W 127TH PL,T135,2,0,2007,07,02,41,-87
235,CULEX PIPIENS/RESTUANS,40, N AUSTIN AVE,T142,1,0,2007,07,02,41,-87
236,CULEX RESTUANS,40, N AUSTIN AVE,T142,1,0,2007,07,02,41,-87
237,CULEX SALINARIUS,43, N ASHLAND AVE OVERPASS,T145,1,0,2007,07,02,41,-87
238,CULEX RESTUANS,42, N RICHMOND ST,T146,1,0,2007,07,02,41,-87
239,CULEX PIPIENS/RESTUANS,15, W GRANVILLE AVE,T149,1,0,2007,07,02,41,-87
240,CULEX RESTUANS,15, W GRANVILLE AVE,T149,1,0,2007,07,02,41,-87
241,CULEX PIPIENS/RESTUANS,70,  W ARMITAGE AVENUE,T151,5,0,2007,07,02,41,-87
242,CULEX RESTUANS,70,  W ARMITAGE AVENUE,T151,2,0,2007,07,02,41,-87
243,CULEX PIPIENS/RESTUANS,25, S MILLARD AVE,T152,1,0,2007,07,02,41,-87
244,CULEX PIPIENS/RESTUANS,21, N LAWLER AVE,T154,1,0,2007,07,02,41,-87
245,CULEX PIPIENS/RESTUANS,35, W 116TH ST,T158,28,0,2007,07,02,41,-87
246,CULEX RESTUANS,35, W 116TH ST,T158,4,0,2007,07,02,41,-87
247,CULEX PIPIENS/RESTUANS,37, N KEDVALE AVE,T218,2,0,2007,07,02,41,-87
248,CULEX RESTUANS,46, N MILWAUKEE AVE,T003,1,0,2007,07,02,41,-87
249,CULEX RESTUANS,60, N AVONDALE AVE,T006,1,0,2007,07,02,41,-87
250,CULEX PIPIENS/RESTUANS,70, N MOSELL AVE,T008,4,0,2007,07,02,42,-87
251,CULEX RESTUANS,70, N MOSELL AVE,T008,3,0,2007,07,02,42,-87
252,CULEX SALINARIUS,61, N LEMONT AVE,T012,1,0,2007,07,02,41,-87
253,CULEX PIPIENS/RESTUANS,68, W BELDEN AVE,T037,1,0,2007,07,02,41,-87
254,CULEX RESTUANS,68, W BELDEN AVE,T037,2,0,2007,07,02,41,-87
255,CULEX PIPIENS/RESTUANS,30, W 18TH ST,T043,5,0,2007,07,02,41,-87
256,CULEX PIPIENS/RESTUANS,11, S CALIFORNIA,T047,4,0,2007,07,02,41,-87
257,CULEX RESTUANS,11, S CALIFORNIA,T047,8,0,2007,07,02,41,-87
258,CULEX PIPIENS/RESTUANS,25, S THROOP,T051,1,0,2007,07,02,41,-87
259,CULEX PIPIENS/RESTUANS,10, W 95TH ST,T085,2,0,2007,07,02,41,-87
260,CULEX PIPIENS/RESTUANS,10, S CALIFORNIA AVE,T088,1,0,2007,07,02,41,-87
261,CULEX PIPIENS/RESTUANS,96, S HOYNE AVE,T161,3,0,2007,07,02,41,-87
262,CULEX RESTUANS,96, S HOYNE AVE,T161,2,0,2007,07,02,41,-87
263,CULEX PIPIENS/RESTUANS,61, W FULLERTON AVE,T013,6,0,2007,07,02,41,-87
264,CULEX RESTUANS,61, W FULLERTON AVE,T013,1,0,2007,07,02,41,-87
265,CULEX PIPIENS/RESTUANS,64, W STRONG ST,T014,5,0,2007,07,02,41,-87
266,CULEX RESTUANS,64, W STRONG ST,T014,1,0,2007,07,02,41,-87
267,CULEX PIPIENS/RESTUANS,12, W GREENLEAF AVE,T018,1,0,2007,07,02,42,-87
268,CULEX PIPIENS/RESTUANS,10, N CENTRAL PARK DR,T030,3,0,2007,07,02,41,-87
269,CULEX RESTUANS,10, N CENTRAL PARK DR,T030,2,0,2007,07,02,41,-87
270,CULEX PIPIENS/RESTUANS,60, W ROSCOE ST,T005,3,0,2007,07,02,41,-87
271,CULEX PIPIENS/RESTUANS,60, W MONTROSE DR,T017,1,0,2007,07,02,41,-87
272,CULEX PIPIENS/RESTUANS,33, E RANDOLPH ST,T044,2,0,2007,07,02,41,-87
273,CULEX RESTUANS,33, E RANDOLPH ST,T044,1,0,2007,07,02,41,-87
274,CULEX PIPIENS/RESTUANS,33, W 104TH ST,T095,1,0,2007,07,02,41,-87
275,CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,18,0,2007,07,11,41,-87
276,CULEX RESTUANS,41, N OAK PARK AVE,T002,7,0,2007,07,11,41,-87
277,CULEX PIPIENS,41, N OAK PARK AVE,T002,2,0,2007,07,11,41,-87
278,CULEX PIPIENS/RESTUANS,62, N MANDELL AVE,T007,3,0,2007,07,11,41,-87
279,CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,1,0,2007,07,11,41,-87
280,CULEX RESTUANS,79, W FOSTER AVE,T015,1,0,2007,07,11,41,-87
281,CULEX RESTUANS,79, W FOSTER AVE,T015,2,0,2007,07,11,41,-87
282,CULEX PIPIENS/RESTUANS,15, W WEBSTER AVE,T045,4,0,2007,07,11,41,-87
283,CULEX RESTUANS,15, W WEBSTER AVE,T045,1,0,2007,07,11,41,-87
284,CULEX PIPIENS/RESTUANS,25, W GRAND AVE,T046,6,0,2007,07,11,41,-87
285,CULEX RESTUANS,25, W GRAND AVE,T046,5,0,2007,07,11,41,-87
286,CULEX PIPIENS,25, W GRAND AVE,T046,3,0,2007,07,11,41,-87
287,CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,3,0,2007,07,11,41,-87
288,CULEX RESTUANS,11, W ROOSEVELT,T048,1,0,2007,07,11,41,-87
289,CULEX PIPIENS/RESTUANS,11, W CHICAGO,T049,2,0,2007,07,11,41,-87
290,CULEX RESTUANS,11, W CHICAGO,T049,1,0,2007,07,11,41,-87
291,CULEX PIPIENS/RESTUANS,22, N CANNON DR,T054,1,0,2007,07,11,41,-87
292,CULEX RESTUANS,22, N CANNON DR,T054,1,0,2007,07,11,41,-87
293,CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,50,0,2007,07,11,41,-87
294,CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,35,0,2007,07,11,41,-87
295,CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,50,0,2007,07,11,41,-87
