species,block,street,trap,nummosquitos,wnvpresent,latitude,longitude,year,month,day
CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,1,0,41.95469,-87.800991,2007,6,26
CULEX RESTUANS,41, N OAK PARK AVE,T002,4,0,41.95469,-87.800991,2007,6,26
CULEX SALINARIUS,41, N OAK PARK AVE,T002,1,0,41.95469,-87.800991,2007,6,26
CULEX PIPIENS/RESTUANS,62, N MANDELL AVE,T007,1,0,41.994991,-87.769279,2007,6,26
CULEX RESTUANS,62, N MANDELL AVE,T007,4,0,41.994991,-87.769279,2007,6,26
CULEX RESTUANS,79, W FOSTER AVE,T015,1,0,41.974089,-87.824812,2007,6,26
CULEX PIPIENS/RESTUANS,15, W WEBSTER AVE,T045,1,0,41.9216,-87.666455,2007,6,26
CULEX RESTUANS,15, W WEBSTER AVE,T045,1,0,41.9216,-87.666455,2007,6,26
CULEX PIPIENS/RESTUANS,25, W GRAND AVE,T046,1,0,41.891118,-87.654491,2007,6,26
CULEX RESTUANS,25, W GRAND AVE,T046,6,0,41.891118,-87.654491,2007,6,26
CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,2,0,41.867108,-87.654224,2007,6,26
CULEX RESTUANS,11, W CHICAGO,T049,1,0,41.896282,-87.655232,2007,6,26
CULEX RESTUANS,21, N STAVE ST,T050,1,0,41.919343,-87.694259,2007,6,26
CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,2,0,41.688324,-87.676709,2007,6,26
CULEX RESTUANS,22, W 113TH ST,T086,2,0,41.688324,-87.676709,2007,6,26
CULEX RESTUANS,22, W 89TH ST,T096,5,0,41.731922,-87.677512,2007,6,26
CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,1,0,41.891126,-87.61156,2007,6,26
CULEX RESTUANS,53, N STREETER DR,T129,1,0,41.891126,-87.61156,2007,6,26
CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,1,0,41.999129,-87.795585,2007,6,26
CULEX RESTUANS,65, N OAK PARK AVE,T143,1,0,41.999129,-87.795585,2007,6,26
CULEX PIPIENS/RESTUANS,75, N OAKLEY AVE,T148,2,0,42.01743,-87.687769,2007,6,26
CULEX RESTUANS,75, N OAKLEY AVE,T148,2,0,42.01743,-87.687769,2007,6,26
CULEX PIPIENS/RESTUANS,36, N PITTSBURGH AVE,T011,2,0,41.944869,-87.832763,2007,6,26
CULEX RESTUANS,36, N PITTSBURGH AVE,T011,4,0,41.944869,-87.832763,2007,6,26
CULEX PIPIENS/RESTUANS,72, N OKETO AVE,T016,2,0,42.011601,-87.811506,2007,6,26
CULEX RESTUANS,72, N OKETO AVE,T016,2,0,42.011601,-87.811506,2007,6,26
CULEX RESTUANS,38, N CALIFORNIA AVE,T019,1,0,41.94983,-87.698457,2007,6,26
CULEX PIPIENS/RESTUANS,49, W BALMORAL AVE,T025,1,0,41.979243,-87.750938,2007,6,26
CULEX PIPIENS/RESTUANS,58, N WESTERN AVE,T028,1,0,41.986921,-87.689778,2007,6,26
CULEX RESTUANS,58, N WESTERN AVE,T028,9,0,41.986921,-87.689778,2007,6,26
CULEX PIPIENS/RESTUANS,14, N HUMBOLDT DR,T033,2,0,41.906638,-87.701431,2007,6,26
CULEX RESTUANS,14, N HUMBOLDT DR,T033,3,0,41.906638,-87.701431,2007,6,26
CULEX PIPIENS/RESTUANS,11, S ASHLAND AVE,T090,10,0,41.868077,-87.666901,2007,6,26
CULEX RESTUANS,11, S ASHLAND AVE,T090,19,0,41.868077,-87.666901,2007,6,26
CULEX PIPIENS,11, S ASHLAND AVE,T090,1,0,41.868077,-87.666901,2007,6,26
CULEX PIPIENS/RESTUANS,42, W 127TH PL,T135,20,0,41.662014,-87.724608,2007,6,26
CULEX RESTUANS,42, W 127TH PL,T135,25,0,41.662014,-87.724608,2007,6,26
CULEX PIPIENS,42, W 127TH PL,T135,6,0,41.662014,-87.724608,2007,6,26
CULEX PIPIENS/RESTUANS,53, W AGATITE AVE,T141,1,0,41.961743,-87.76007,2007,6,26
CULEX RESTUANS,53, W AGATITE AVE,T141,3,0,41.961743,-87.76007,2007,6,26
CULEX RESTUANS,40, N AUSTIN AVE,T142,4,0,41.953067,-87.776792,2007,6,26
CULEX RESTUANS,43, N ASHLAND AVE OVERPASS,T145,1,0,41.878114,-87.629798,2007,6,26
CULEX RESTUANS,42, N RICHMOND ST,T146,6,0,41.958271,-87.702575,2007,6,26
CULEX RESTUANS,28, N FRANCISCO AVE,T147,1,0,41.932094,-87.700117,2007,6,26
CULEX RESTUANS,18, W FARWELL AVE,T150,2,0,42.006858,-87.675919,2007,6,26
CULEX PIPIENS/RESTUANS,70,  W ARMITAGE AVENUE,T151,3,0,41.916265,-87.800515,2007,6,26
CULEX RESTUANS,70,  W ARMITAGE AVENUE,T151,6,0,41.916265,-87.800515,2007,6,26
CULEX PIPIENS/RESTUANS,35, W 116TH ST,T158,1,0,41.682587,-87.707973,2007,6,26
CULEX RESTUANS,35, W 116TH ST,T158,4,0,41.682587,-87.707973,2007,6,26
CULEX RESTUANS,45, N CAMPBELL AVE,T220,1,0,41.963976,-87.69181,2007,6,26
CULEX PIPIENS/RESTUANS,40, N TRIPP AVE,T001,1,0,41.953705,-87.733974,2007,6,26
CULEX RESTUANS,46, N MILWAUKEE AVE,T003,2,0,41.964242,-87.757639,2007,6,26
CULEX PIPIENS/RESTUANS,60, N AVONDALE AVE,T006,1,0,41.990284,-87.797127,2007,6,26
CULEX RESTUANS,60, N AVONDALE AVE,T006,1,0,41.990284,-87.797127,2007,6,26
CULEX RESTUANS,70, N MOSELL AVE,T008,2,0,42.008314,-87.777921,2007,6,26
CULEX PIPIENS/RESTUANS,61, N LEMONT AVE,T012,2,0,41.991429,-87.747113,2007,6,26
CULEX RESTUANS,27, S WESTERN AVE,T034,1,0,41.843811,-87.686763,2007,6,26
CULEX RESTUANS,68, W BELDEN AVE,T037,1,0,41.921177,-87.79518,2007,6,26
CULEX PIPIENS/RESTUANS,21, S HAMLIN AVE,T040,5,0,41.852652,-87.719887,2007,6,26
CULEX RESTUANS,21, S HAMLIN AVE,T040,1,0,41.852652,-87.719887,2007,6,26
CULEX RESTUANS,30, W 18TH ST,T043,1,0,41.857402,-87.694991,2007,6,26
CULEX PIPIENS/RESTUANS,11, S CALIFORNIA,T047,1,0,41.868142,-87.696269,2007,6,26
CULEX RESTUANS,11, S CALIFORNIA,T047,1,0,41.868142,-87.696269,2007,6,26
CULEX PIPIENS/RESTUANS,25, S THROOP,T051,1,0,41.846283,-87.656913,2007,6,26
CULEX RESTUANS,10, W 95TH ST,T085,2,0,41.721474,-87.648064,2007,6,26
CULEX PIPIENS,10, S CALIFORNIA AVE,T088,1,0,41.869107,-87.696293,2007,6,26
CULEX PIPIENS/RESTUANS,96, S HOYNE AVE,T161,3,0,41.719059,-87.675088,2007,6,26
CULEX RESTUANS,96, S HOYNE AVE,T161,5,0,41.719059,-87.675088,2007,6,26
CULEX RESTUANS,18, W LELAND AVE,T219,1,0,41.966987,-87.674677,2007,6,26
CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,2,0,41.95469,-87.800991,2007,6,29
CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,1,0,41.974089,-87.824812,2007,6,29
CULEX RESTUANS,79, W FOSTER AVE,T015,2,0,41.974089,-87.824812,2007,6,29
CULEX RESTUANS,25, W GRAND AVE,T046,2,0,41.891118,-87.654491,2007,6,29
CULEX PIPIENS/RESTUANS,22, N CANNON DR,T054,3,0,41.921965,-87.632085,2007,6,29
CULEX RESTUANS,22, W 113TH ST,T086,2,0,41.688324,-87.676709,2007,6,29
CULEX PIPIENS,22, W 113TH ST,T086,1,0,41.688324,-87.676709,2007,6,29
CULEX PIPIENS/RESTUANS,11, S PEORIA ST,T091,1,0,41.862292,-87.64886,2007,6,29
CULEX RESTUANS,22, W 89TH ST,T096,1,0,41.731922,-87.677512,2007,6,29
CULEX RESTUANS,65, N OAK PARK AVE,T143,3,0,41.999129,-87.795585,2007,6,29
CULEX PIPIENS/RESTUANS,75, N OAKLEY AVE,T148,2,0,42.01743,-87.687769,2007,6,29
CULEX RESTUANS,75, N OAKLEY AVE,T148,2,0,42.01743,-87.687769,2007,6,29
CULEX RESTUANS,15, N LONG AVE,T153,1,0,41.907645,-87.760886,2007,6,29
CULEX PIPIENS/RESTUANS,72, N OKETO AVE,T016,2,0,42.011601,-87.811506,2007,6,29
CULEX PIPIENS/RESTUANS,58, N WESTERN AVE,T028,2,0,41.986921,-87.689778,2007,6,29
CULEX RESTUANS,58, N WESTERN AVE,T028,1,0,41.986921,-87.689778,2007,6,29
CULEX PIPIENS,50, S CENTRAL AVE,T031,1,0,41.801498,-87.763416,2007,6,29
CULEX RESTUANS,10, S VINCENNES,T089,2,0,41.723195,-87.64997,2007,6,29
CULEX PIPIENS/RESTUANS,11, S ASHLAND AVE,T090,1,0,41.868077,-87.666901,2007,6,29
CULEX RESTUANS,11, S ASHLAND AVE,T090,6,0,41.868077,-87.666901,2007,6,29
CULEX PIPIENS,11, S ASHLAND AVE,T090,3,0,41.868077,-87.666901,2007,6,29
CULEX RESTUANS,42, W 127TH PL,T135,3,0,41.662014,-87.724608,2007,6,29
CULEX RESTUANS,53, W AGATITE AVE,T141,1,0,41.961743,-87.76007,2007,6,29
CULEX RESTUANS,40, N AUSTIN AVE,T142,1,0,41.953067,-87.776792,2007,6,29
CULEX RESTUANS,43, N ASHLAND AVE OVERPASS,T145,1,0,41.878114,-87.629798,2007,6,29
CULEX RESTUANS,42, N RICHMOND ST,T146,2,0,41.958271,-87.702575,2007,6,29
CULEX RESTUANS,18, W FARWELL AVE,T150,1,0,42.006858,-87.675919,2007,6,29
CULEX PIPIENS/RESTUANS,70,  W ARMITAGE AVENUE,T151,1,0,41.916265,-87.800515,2007,6,29
CULEX RESTUANS,70,  W ARMITAGE AVENUE,T151,5,0,41.916265,-87.800515,2007,6,29
CULEX RESTUANS,35, W 116TH ST,T158,6,0,41.682587,-87.707973,2007,6,29
CULEX RESTUANS,37, N KEDVALE AVE,T218,5,0,41.948167,-87.730698,2007,6,29
CULEX RESTUANS,60, N AVONDALE AVE,T006,1,0,41.990284,-87.797127,2007,6,29
CULEX PIPIENS/RESTUANS,61, N LEMONT AVE,T012,1,0,41.991429,-87.747113,2007,6,29
CULEX PIPIENS/RESTUANS,30, W 18TH ST,T043,2,0,41.857402,-87.694991,2007,6,29
CULEX RESTUANS,30, W 18TH ST,T043,3,0,41.857402,-87.694991,2007,6,29
CULEX PIPIENS/RESTUANS,10, W 95TH ST,T085,1,0,41.721474,-87.648064,2007,6,29
CULEX PIPIENS,10, W 95TH ST,T085,1,0,41.721474,-87.648064,2007,6,29
CULEX PIPIENS/RESTUANS,61, W FULLERTON AVE,T013,1,0,41.923738,-87.785288,2007,6,29
CULEX RESTUANS,64, W STRONG ST,T014,1,0,41.970248,-87.787992,2007,6,29
CULEX RESTUANS,12, W GREENLEAF AVE,T018,1,0,42.010412,-87.66214,2007,6,29
CULEX PIPIENS/RESTUANS,10, N CENTRAL PARK DR,T030,1,0,41.89923,-87.716788,2007,6,29
CULEX RESTUANS,10, N CENTRAL PARK DR,T030,1,0,41.89923,-87.716788,2007,6,29
CULEX PIPIENS/RESTUANS,20, E 111TH ST,T084,1,0,41.692555,-87.598865,2007,6,29
CULEX RESTUANS,20, E 111TH ST,T084,1,0,41.692555,-87.598865,2007,6,29
CULEX PIPIENS/RESTUANS,33, N RUTHERFORD AVE,T144,1,0,41.94016,-87.794896,2007,6,29
CULEX PIPIENS/RESTUANS,11, S ARTESIAN AVE,T160,1,0,41.903002,-87.688267,2007,6,29
CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,3,0,41.95469,-87.800991,2007,7,2
CULEX RESTUANS,41, N OAK PARK AVE,T002,2,0,41.95469,-87.800991,2007,7,2
CULEX PIPIENS/RESTUANS,62, N MANDELL AVE,T007,4,0,41.994991,-87.769279,2007,7,2
CULEX RESTUANS,62, N MANDELL AVE,T007,4,0,41.994991,-87.769279,2007,7,2
CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,3,0,41.974089,-87.824812,2007,7,2
CULEX PIPIENS/RESTUANS,15, W WEBSTER AVE,T045,2,0,41.9216,-87.666455,2007,7,2
CULEX RESTUANS,15, W WEBSTER AVE,T045,2,0,41.9216,-87.666455,2007,7,2
CULEX PIPIENS/RESTUANS,25, W GRAND AVE,T046,3,0,41.891118,-87.654491,2007,7,2
CULEX RESTUANS,25, W GRAND AVE,T046,16,0,41.891118,-87.654491,2007,7,2
CULEX RESTUANS,11, W ROOSEVELT,T048,1,0,41.867108,-87.654224,2007,7,2
CULEX PIPIENS/RESTUANS,22, N CANNON DR,T054,2,0,41.921965,-87.632085,2007,7,2
CULEX RESTUANS,22, N CANNON DR,T054,1,0,41.921965,-87.632085,2007,7,2
CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,2,0,41.688324,-87.676709,2007,7,2
CULEX RESTUANS,22, W 113TH ST,T086,3,0,41.688324,-87.676709,2007,7,2
CULEX PIPIENS/RESTUANS,22, W 89TH ST,T096,3,0,41.731922,-87.677512,2007,7,2
CULEX RESTUANS,22, W 89TH ST,T096,4,0,41.731922,-87.677512,2007,7,2
CULEX PIPIENS,22, W 89TH ST,T096,3,0,41.731922,-87.677512,2007,7,2
CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,2,0,41.891126,-87.61156,2007,7,2
CULEX RESTUANS,53, N STREETER DR,T129,1,0,41.891126,-87.61156,2007,7,2
CULEX RESTUANS,75, N OAKLEY AVE,T148,1,0,42.01743,-87.687769,2007,7,2
CULEX RESTUANS,91, W HIGGINS AVE,T009,2,0,41.981964,-87.812827,2007,7,2
CULEX PIPIENS/RESTUANS,36, N PITTSBURGH AVE,T011,6,0,41.944869,-87.832763,2007,7,2
CULEX RESTUANS,72, N OKETO AVE,T016,1,0,42.011601,-87.811506,2007,7,2
CULEX RESTUANS,38, N CALIFORNIA AVE,T019,1,0,41.94983,-87.698457,2007,7,2
CULEX PIPIENS/RESTUANS,58, N WESTERN AVE,T028,1,0,41.986921,-87.689778,2007,7,2
CULEX RESTUANS,58, N WESTERN AVE,T028,5,0,41.986921,-87.689778,2007,7,2
CULEX PIPIENS,58, N WESTERN AVE,T028,1,0,41.986921,-87.689778,2007,7,2
CULEX PIPIENS/RESTUANS,10, S VINCENNES,T089,1,0,41.723195,-87.64997,2007,7,2
CULEX PIPIENS/RESTUANS,11, S ASHLAND AVE,T090,2,0,41.868077,-87.666901,2007,7,2
CULEX RESTUANS,11, S ASHLAND AVE,T090,11,0,41.868077,-87.666901,2007,7,2
CULEX RESTUANS,11, S STATE ST,T092,2,0,41.869216,-87.627561,2007,7,2
CULEX PIPIENS/RESTUANS,42, W 127TH PL,T135,16,0,41.662014,-87.724608,2007,7,2
CULEX RESTUANS,42, W 127TH PL,T135,12,0,41.662014,-87.724608,2007,7,2
CULEX SALINARIUS,42, W 127TH PL,T135,2,0,41.662014,-87.724608,2007,7,2
CULEX PIPIENS/RESTUANS,40, N AUSTIN AVE,T142,1,0,41.953067,-87.776792,2007,7,2
CULEX RESTUANS,40, N AUSTIN AVE,T142,1,0,41.953067,-87.776792,2007,7,2
CULEX SALINARIUS,43, N ASHLAND AVE OVERPASS,T145,1,0,41.878114,-87.629798,2007,7,2
CULEX RESTUANS,42, N RICHMOND ST,T146,1,0,41.958271,-87.702575,2007,7,2
CULEX PIPIENS/RESTUANS,15, W GRANVILLE AVE,T149,1,0,41.994469,-87.667736,2007,7,2
CULEX RESTUANS,15, W GRANVILLE AVE,T149,1,0,41.994469,-87.667736,2007,7,2
CULEX PIPIENS/RESTUANS,70,  W ARMITAGE AVENUE,T151,5,0,41.916265,-87.800515,2007,7,2
CULEX RESTUANS,70,  W ARMITAGE AVENUE,T151,2,0,41.916265,-87.800515,2007,7,2
CULEX PIPIENS/RESTUANS,25, S MILLARD AVE,T152,1,0,41.846075,-87.716277,2007,7,2
CULEX PIPIENS/RESTUANS,21, N LAWLER AVE,T154,1,0,41.918705,-87.752329,2007,7,2
CULEX PIPIENS/RESTUANS,35, W 116TH ST,T158,28,0,41.682587,-87.707973,2007,7,2
CULEX RESTUANS,35, W 116TH ST,T158,4,0,41.682587,-87.707973,2007,7,2
CULEX PIPIENS/RESTUANS,37, N KEDVALE AVE,T218,2,0,41.948167,-87.730698,2007,7,2
CULEX RESTUANS,46, N MILWAUKEE AVE,T003,1,0,41.964242,-87.757639,2007,7,2
CULEX RESTUANS,60, N AVONDALE AVE,T006,1,0,41.990284,-87.797127,2007,7,2
CULEX PIPIENS/RESTUANS,70, N MOSELL AVE,T008,4,0,42.008314,-87.777921,2007,7,2
CULEX RESTUANS,70, N MOSELL AVE,T008,3,0,42.008314,-87.777921,2007,7,2
CULEX SALINARIUS,61, N LEMONT AVE,T012,1,0,41.991429,-87.747113,2007,7,2
CULEX PIPIENS/RESTUANS,68, W BELDEN AVE,T037,1,0,41.921177,-87.79518,2007,7,2
CULEX RESTUANS,68, W BELDEN AVE,T037,2,0,41.921177,-87.79518,2007,7,2
CULEX PIPIENS/RESTUANS,30, W 18TH ST,T043,5,0,41.857402,-87.694991,2007,7,2
CULEX PIPIENS/RESTUANS,11, S CALIFORNIA,T047,4,0,41.868142,-87.696269,2007,7,2
CULEX RESTUANS,11, S CALIFORNIA,T047,8,0,41.868142,-87.696269,2007,7,2
CULEX PIPIENS/RESTUANS,25, S THROOP,T051,1,0,41.846283,-87.656913,2007,7,2
CULEX PIPIENS/RESTUANS,10, W 95TH ST,T085,2,0,41.721474,-87.648064,2007,7,2
CULEX PIPIENS/RESTUANS,10, S CALIFORNIA AVE,T088,1,0,41.869107,-87.696293,2007,7,2
CULEX PIPIENS/RESTUANS,96, S HOYNE AVE,T161,3,0,41.719059,-87.675088,2007,7,2
CULEX RESTUANS,96, S HOYNE AVE,T161,2,0,41.719059,-87.675088,2007,7,2
CULEX PIPIENS/RESTUANS,61, W FULLERTON AVE,T013,6,0,41.923738,-87.785288,2007,7,2
CULEX RESTUANS,61, W FULLERTON AVE,T013,1,0,41.923738,-87.785288,2007,7,2
CULEX PIPIENS/RESTUANS,64, W STRONG ST,T014,5,0,41.970248,-87.787992,2007,7,2
CULEX RESTUANS,64, W STRONG ST,T014,1,0,41.970248,-87.787992,2007,7,2
CULEX PIPIENS/RESTUANS,12, W GREENLEAF AVE,T018,1,0,42.010412,-87.66214,2007,7,2
CULEX PIPIENS/RESTUANS,10, N CENTRAL PARK DR,T030,3,0,41.89923,-87.716788,2007,7,2
CULEX RESTUANS,10, N CENTRAL PARK DR,T030,2,0,41.89923,-87.716788,2007,7,2
CULEX PIPIENS/RESTUANS,60, W ROSCOE ST,T005,3,0,41.942114,-87.776385,2007,7,2
CULEX PIPIENS/RESTUANS,60, W MONTROSE DR,T017,1,0,41.960616,-87.777189,2007,7,2
CULEX PIPIENS/RESTUANS,33, E RANDOLPH ST,T044,2,0,41.883284,-87.705085,2007,7,2
CULEX RESTUANS,33, E RANDOLPH ST,T044,1,0,41.883284,-87.705085,2007,7,2
